benchmark,family,result,time,memory,conflict,decision,stage
mbo_E1E22,20161105-Sturm-MBO,timeout,1199.92,342.85,0,0,0
mbo_E1E23,20161105-Sturm-MBO,timeout,1199.92,427.81,0,0,0
mbo_E1E24,20161105-Sturm-MBO,timeout,1199.92,353.59,0,0,0
mbo_E1E25,20161105-Sturm-MBO,timeout,1199.92,515.21,0,0,0
mbo_E1E26,20161105-Sturm-MBO,timeout,1199.92,563.1,0,0,0
mbo_E1E27,20161105-Sturm-MBO,timeout,1199.96,408.43,0,0,0
mbo_E1E28,20161105-Sturm-MBO,timeout,1199.92,590.81,0,0,0
mbo_E1E2,20161105-Sturm-MBO,timeout,1199.9,370.15,0,0,0
mbo_E1E3,20161105-Sturm-MBO,timeout,1199.89,367.47,0,0,0
mbo_E1E4,20161105-Sturm-MBO,timeout,1199.89,361.7,0,0,0
mbo_E1E5,20161105-Sturm-MBO,timeout,1199.88,510.79,0,0,0
mbo_E1E6,20161105-Sturm-MBO,timeout,1199.89,856.79,0,0,0
mbo_E1E7,20161105-Sturm-MBO,timeout,1199.93,481.3,0,0,0
mbo_E1E8,20161105-Sturm-MBO,timeout,1199.9,311.44,0,0,0
mbo_E1E9,20161105-Sturm-MBO,timeout,1199.86,801.73,0,0,0
mbo_E1,20161105-Sturm-MBO,timeout,1199.98,226.47,0,0,0
mbo_E20E21,20161105-Sturm-MBO,timeout,1199.98,197.53,0,0,0
mbo_E20E22,20161105-Sturm-MBO,timeout,1199.99,202.74,0,0,0
mbo_E20E23,20161105-Sturm-MBO,timeout,1199.98,344.31,0,0,0
mbo_E20E24,20161105-Sturm-MBO,timeout,1199.97,291.25,0,0,0
mbo_E20E25,20161105-Sturm-MBO,timeout,1199.96,288.33,0,0,0
mbo_E20E26,20161105-Sturm-MBO,timeout,1199.97,373.29,0,0,0
mbo_E20E27,20161105-Sturm-MBO,timeout,1199.97,168.03,0,0,0
mbo_E20E28,20161105-Sturm-MBO,timeout,1199.97,296.44,0,0,0
mbo_E20,20161105-Sturm-MBO,unsat,0.01,18.11,18.0,13.0,17.0
mbo_E21E22,20161105-Sturm-MBO,timeout,1199.99,378.65,0,0,0
mbo_E21E23,20161105-Sturm-MBO,unsat,0.04,18.1,33.0,25.0,33.0
mbo_E21E24,20161105-Sturm-MBO,timeout,1199.98,441.62,0,0,0
mbo_E21E25,20161105-Sturm-MBO,timeout,1199.98,440.91,0,0,0
mbo_E21E26,20161105-Sturm-MBO,unsat,0.07,18.11,21.0,11.0,22.0
mbo_E21E27,20161105-Sturm-MBO,unsat,0.0,18.11,7.0,0,8.0
mbo_E21E28,20161105-Sturm-MBO,unsat,0.01,18.12,16.0,5.0,16.0
mbo_E21,20161105-Sturm-MBO,unsat,0.0,18.02,1.0,0,2.0
mbo_E22E23,20161105-Sturm-MBO,unsat,0.01,18.22,5.0,0,6.0
mbo_E22E24,20161105-Sturm-MBO,timeout,1199.97,274.86,0,0,0
