benchmark,family,result,time,memory,conflict,decision,stage
mbo_E21E23,20161105-Sturm-MBO,unsat,0.17,18.11,58.0,7.0,51.0
mbo_E21E24,20161105-Sturm-MBO,timeout,1199.99,331.96,0,0,0
mbo_E21E25,20161105-Sturm-MBO,timeout,1199.99,837.55,0,0,0
mbo_E21E26,20161105-Sturm-MBO,unsat,0.4,18.1,45.0,6.0,40.0
mbo_E21E27,20161105-Sturm-MBO,unsat,0.02,18.1,24.0,4.0,21.0
mbo_E21E28,20161105-Sturm-MBO,unsat,0.45,18.11,49.0,6.0,43.0
mbo_E21,20161105-Sturm-MBO,unsat,0.0,18.02,2.0,0,2.0
mbo_E22E23,20161105-Sturm-MBO,unsat,0.01,18.22,6.0,0,6.0
mbo_E22E24,20161105-Sturm-MBO,timeout,1199.99,251.01,0,0,0
mbo_E22E25,20161105-Sturm-MBO,timeout,1199.99,407.02,0,0,0
mbo_E22E26,20161105-Sturm-MBO,timeout,1199.98,480.8,0,0,0
mbo_E22E27,20161105-Sturm-MBO,timeout,1199.99,168.49,0,0,0
mbo_E22E28,20161105-Sturm-MBO,timeout,1199.99,270.48,0,0,0
mbo_E22,20161105-Sturm-MBO,unsat,0.0,18.11,5.0,0,5.0
mbo_E23E24,20161105-Sturm-MBO,timeout,1199.98,310.47,0,0,0
mbo_E23E25,20161105-Sturm-MBO,timeout,1199.98,471.19,0,0,0
mbo_E23E26,20161105-Sturm-MBO,unsat,0.03,18.1,24.0,2.0,22.0
mbo_E23E27,20161105-Sturm-MBO,unsat,0.0,18.12,4.0,0,4.0
mbo_E23E28,20161105-Sturm-MBO,unsat,0.0,18.12,4.0,0,4.0
mbo_E23,20161105-Sturm-MBO,unsat,0.0,18.02,2.0,0,2.0
mbo_E24E25,20161105-Sturm-MBO,timeout,1199.98,482.26,0,0,0
mbo_E24E26,20161105-Sturm-MBO,timeout,1199.98,465.46,0,0,0
mbo_E24E27,20161105-Sturm-MBO,unsat,0.04,18.19,73.0,21.0,53.0
mbo_E24E28,20161105-Sturm-MBO,unsat,0.04,18.51,6.0,0,6.0
mbo_E24,20161105-Sturm-MBO,unsat,0.02,18.12,90.0,13.0,83.0
mbo_E25E26,20161105-Sturm-MBO,timeout,1199.98,155.9,0,0,0
mbo_E25E27,20161105-Sturm-MBO,timeout,1199.99,186.63,0,0,0
mbo_E25E28,20161105-Sturm-MBO,timeout,1199.98,438.7,0,0,0
mbo_E25,20161105-Sturm-MBO,timeout,1199.98,30.57,0,0,0
mbo_E26E27,20161105-Sturm-MBO,unsat,0.01,18.12,4.0,0,4.0
mbo_E26E28,20161105-Sturm-MBO,unsat,0.09,18.1,18.0,2.0,16.0
mbo_E26,20161105-Sturm-MBO,unsat,0.0,18.02,2.0,0,2.0
mbo_E27E28,20161105-Sturm-MBO,unsat,0.0,18.12,4.0,0,4.0
mbo_E27,20161105-Sturm-MBO,unsat,0,18.01,0,0,0
mbo_E28,20161105-Sturm-MBO,unsat,0.0,18.11,3.0,0,3.0
mbo_E2E10,20161105-Sturm-MBO,timeout,1199.9,444.14,0,0,0
mbo_E2E11,20161105-Sturm-MBO,timeout,1199.96,455.54,0,0,0
mbo_E2E12,20161105-Sturm-MBO,timeout,1199.91,335.69,0,0,0
mbo_E2E13,20161105-Sturm-MBO,timeout,1199.91,344.26,0,0,0
mbo_E2E14,20161105-Sturm-MBO,timeout,1199.86,405.08,0,0,0
mbo_E2E15,20161105-Sturm-MBO,timeout,1199.92,395.92,0,0,0
mbo_E2E16,20161105-Sturm-MBO,timeout,1199.9,742.18,0,0,0
mbo_E2E17,20161105-Sturm-MBO,timeout,1199.9,614.66,0,0,0
mbo_E2E18,20161105-Sturm-MBO,timeout,1199.91,443.3,0,0,0
mbo_E2E19,20161105-Sturm-MBO,timeout,1199.91,331.29,0,0,0
mbo_E2E20,20161105-Sturm-MBO,timeout,1199.93,332.22,0,0,0
mbo_E2E21,20161105-Sturm-MBO,timeout,1199.93,425.01,0,0,0
mbo_E2E22,20161105-Sturm-MBO,timeout,1199.93,280.97,0,0,0
mbo_E2E23,20161105-Sturm-MBO,timeout,1199.93,429.14,0,0,0
mbo_E2E24,20161105-Sturm-MBO,timeout,1199.92,411.13,0,0,0
mbo_E2E25,20161105-Sturm-MBO,timeout,1199.92,284.62,0,0,0
mbo_E2E26,20161105-Sturm-MBO,timeout,1199.93,532.79,0,0,0
mbo_E2E27,20161105-Sturm-MBO,timeout,1199.98,278.32,0,0,0
mbo_E2E28,20161105-Sturm-MBO,timeout,1199.93,548.54,0,0,0
mbo_E2E3,20161105-Sturm-MBO,timeout,1199.91,292.61,0,0,0
mbo_E2E4,20161105-Sturm-MBO,timeout,1199.91,308.57,0,0,0
mbo_E2E5,20161105-Sturm-MBO,timeout,1199.9,717.55,0,0,0
mbo_E2E6,20161105-Sturm-MBO,timeout,1199.9,610.65,0,0,0
mbo_E2E7,20161105-Sturm-MBO,timeout,1199.94,462.83,0,0,0
mbo_E2E8,20161105-Sturm-MBO,timeout,1199.91,292.51,0,0,0
mbo_E2E9,20161105-Sturm-MBO,timeout,1199.9,709.29,0,0,0
mbo_E2,20161105-Sturm-MBO,timeout,1199.99,234.0,0,0,0
mbo_E3E10,20161105-Sturm-MBO,timeout,1199.92,332.87,0,0,0
mbo_E3E11,20161105-Sturm-MBO,timeout,1199.97,465.74,0,0,0
mbo_E3E12,20161105-Sturm-MBO,timeout,1199.92,264.72,0,0,0
mbo_E3E13,20161105-Sturm-MBO,timeout,1199.91,276.54,0,0,0
mbo_E3E14,20161105-Sturm-MBO,timeout,1199.86,658.38,0,0,0
mbo_E3E15,20161105-Sturm-MBO,timeout,1199.91,305.16,0,0,0
mbo_E3E16,20161105-Sturm-MBO,timeout,1199.9,736.13,0,0,0
mbo_E3E17,20161105-Sturm-MBO,timeout,1199.91,609.82,0,0,0
mbo_E3E18,20161105-Sturm-MBO,timeout,1199.91,391.16,0,0,0
mbo_E3E19,20161105-Sturm-MBO,timeout,1199.91,362.2,0,0,0
mbo_E3E20,20161105-Sturm-MBO,timeout,1199.93,358.81,0,0,0
mbo_E3E21,20161105-Sturm-MBO,timeout,1199.94,422.51,0,0,0
mbo_E3E22,20161105-Sturm-MBO,timeout,1199.92,452.11,0,0,0
mbo_E3E23,20161105-Sturm-MBO,timeout,1199.93,427.97,0,0,0
mbo_E3E24,20161105-Sturm-MBO,timeout,1199.92,474.19,0,0,0
mbo_E3E25,20161105-Sturm-MBO,timeout,1199.92,465.63,0,0,0
mbo_E3E26,20161105-Sturm-MBO,timeout,1199.94,531.06,0,0,0
mbo_E3E27,20161105-Sturm-MBO,timeout,1199.97,230.31,0,0,0
mbo_E3E28,20161105-Sturm-MBO,timeout,1199.93,262.65,0,0,0
mbo_E3E4,20161105-Sturm-MBO,timeout,1199.91,304.8,0,0,0
mbo_E3E5,20161105-Sturm-MBO,timeout,1199.9,711.55,0,0,0
mbo_E3E6,20161105-Sturm-MBO,timeout,1199.9,755.72,0,0,0
mbo_E3E7,20161105-Sturm-MBO,timeout,1199.95,195.81,0,0,0
mbo_E3E8,20161105-Sturm-MBO,timeout,1199.9,345.89,0,0,0
mbo_E3E9,20161105-Sturm-MBO,timeout,1199.91,736.11,0,0,0
mbo_E3,20161105-Sturm-MBO,timeout,1199.98,48.05,0,0,0
mbo_E4E10,20161105-Sturm-MBO,timeout,1199.92,470.82,0,0,0
mbo_E4E11,20161105-Sturm-MBO,timeout,1199.97,413.58,0,0,0
mbo_E4E12,20161105-Sturm-MBO,timeout,1199.92,344.98,0,0,0
mbo_E4E13,20161105-Sturm-MBO,timeout,1199.91,444.57,0,0,0
mbo_E4E14,20161105-Sturm-MBO,timeout,1199.89,442.37,0,0,0
mbo_E4E15,20161105-Sturm-MBO,timeout,1199.92,351.27,0,0,0
mbo_E4E16,20161105-Sturm-MBO,timeout,1199.9,804.35,0,0,0
mbo_E4E17,20161105-Sturm-MBO,timeout,1199.92,623.14,0,0,0
mbo_E4E18,20161105-Sturm-MBO,timeout,1199.92,473.37,0,0,0
mbo_E4E19,20161105-Sturm-MBO,timeout,1199.92,308.62,0,0,0
mbo_E4E20,20161105-Sturm-MBO,timeout,1199.93,456.54,0,0,0
mbo_E4E21,20161105-Sturm-MBO,timeout,1199.95,458.68,0,0,0
mbo_E4E22,20161105-Sturm-MBO,timeout,1199.93,494.74,0,0,0
mbo_E4E23,20161105-Sturm-MBO,timeout,1199.94,468.18,0,0,0
mbo_E4E24,20161105-Sturm-MBO,timeout,1199.93,483.6,0,0,0
mbo_E4E25,20161105-Sturm-MBO,timeout,1199.94,488.91,0,0,0
mbo_E4E26,20161105-Sturm-MBO,timeout,1199.93,558.55,0,0,0
mbo_E4E27,20161105-Sturm-MBO,timeout,1199.97,390.44,0,0,0
mbo_E4E28,20161105-Sturm-MBO,timeout,1199.94,589.11,0,0,0
mbo_E4E5,20161105-Sturm-MBO,timeout,1199.91,775.35,0,0,0
mbo_E4E6,20161105-Sturm-MBO,timeout,1199.92,418.32,0,0,0
mbo_E4E7,20161105-Sturm-MBO,timeout,1199.96,413.8,0,0,0
mbo_E4E8,20161105-Sturm-MBO,timeout,1199.9,358.8,0,0,0
mbo_E4E9,20161105-Sturm-MBO,timeout,1199.92,721.67,0,0,0
mbo_E4,20161105-Sturm-MBO,timeout,1199.99,900.55,0,0,0
mbo_E5E10,20161105-Sturm-MBO,timeout,1199.9,715.19,0,0,0
mbo_E5E11,20161105-Sturm-MBO,timeout,1199.98,290.61,0,0,0
mbo_E5E12,20161105-Sturm-MBO,timeout,1199.91,668.67,0,0,0
mbo_E5E13,20161105-Sturm-MBO,timeout,1199.9,696.24,0,0,0
mbo_E5E15,20161105-Sturm-MBO,timeout,1199.91,690.3,0,0,0
mbo_E5E16,20161105-Sturm-MBO,timeout,1199.99,571.84,0,0,0
mbo_E5E17,20161105-Sturm-MBO,timeout,1199.98,410.86,0,0,0
mbo_E5E18,20161105-Sturm-MBO,timeout,1199.91,730.1,0,0,0
mbo_E5E19,20161105-Sturm-MBO,timeout,1199.91,586.97,0,0,0
mbo_E5E20,20161105-Sturm-MBO,timeout,1199.94,638.48,0,0,0
mbo_E5E21,20161105-Sturm-MBO,unsat,0.26,18.74,47.0,4.0,43.0
mbo_E5E22,20161105-Sturm-MBO,timeout,1199.92,628.33,0,0,0
mbo_E5E23,20161105-Sturm-MBO,unsat,0.13,18.68,27.0,1.0,26.0
mbo_E5E24,20161105-Sturm-MBO,timeout,1199.91,678.14,0,0,0
mbo_E5E25,20161105-Sturm-MBO,timeout,1199.92,641.21,0,0,0
mbo_E5E26,20161105-Sturm-MBO,unsat,0.03,18.6,6.0,0,6.0
mbo_E5E27,20161105-Sturm-MBO,unsat,0.15,18.22,41.0,10.0,32.0
mbo_E5E28,20161105-Sturm-MBO,timeout,1199.98,518.04,0,0,0
mbo_E5E6,20161105-Sturm-MBO,timeout,1199.98,613.09,0,0,0
mbo_E5E7,20161105-Sturm-MBO,unsat,0.04,18.5,6.0,0,6.0
mbo_E5E8,20161105-Sturm-MBO,timeout,1199.89,704.21,0,0,0
mbo_E5E9,20161105-Sturm-MBO,timeout,1199.99,405.93,0,0,0
mbo_E5,20161105-Sturm-MBO,unsat,0.01,18.11,5.0,0,5.0
mbo_E6E10,20161105-Sturm-MBO,timeout,1199.9,715.63,0,0,0
mbo_E6E11,20161105-Sturm-MBO,timeout,1199.98,259.19,0,0,0
mbo_E6E12,20161105-Sturm-MBO,timeout,1199.9,725.41,0,0,0
mbo_E6E13,20161105-Sturm-MBO,timeout,1199.89,742.56,0,0,0
mbo_E6E14,20161105-Sturm-MBO,timeout,1199.84,824.9,0,0,0
mbo_E6E15,20161105-Sturm-MBO,timeout,1199.9,718.66,0,0,0
mbo_E6E16,20161105-Sturm-MBO,timeout,1199.98,345.96,0,0,0
mbo_E6E17,20161105-Sturm-MBO,timeout,1199.98,151.86,0,0,0
mbo_E6E18,20161105-Sturm-MBO,timeout,1199.91,664.34,0,0,0
mbo_E6E19,20161105-Sturm-MBO,timeout,1199.9,624.01,0,0,0
mbo_E6E20,20161105-Sturm-MBO,timeout,1199.93,657.95,0,0,0
mbo_E6E21,20161105-Sturm-MBO,timeout,1199.99,331.72,0,0,0
mbo_E6E22,20161105-Sturm-MBO,timeout,1199.88,699.1,0,0,0
mbo_E6E23,20161105-Sturm-MBO,timeout,1199.98,97.37,0,0,0
mbo_E6E24,20161105-Sturm-MBO,timeout,1199.92,722.6,0,0,0
mbo_E6E25,20161105-Sturm-MBO,timeout,1199.93,712.04,0,0,0
mbo_E6E26,20161105-Sturm-MBO,timeout,1200.0,398.54,0,0,0
mbo_E6E27,20161105-Sturm-MBO,timeout,1199.98,24.89,0,0,0
