benchmark,family,result,time,memory
mbo_E25E27,20161105-Sturm-MBO,unsat,0.171,25.898
mbo_E25E28,20161105-Sturm-MBO,unsat,0.457,49.645
mbo_E25,20161105-Sturm-MBO,unsat,0.022,11.414
mbo_E26E27,20161105-Sturm-MBO,unsat,0.014,10.496
mbo_E26E28,20161105-Sturm-MBO,unsat,0.028,12.395
mbo_E26,20161105-Sturm-MBO,unsat,0.003,5.957
mbo_E27E28,20161105-Sturm-MBO,unsat,0.016,15.781
mbo_E27,20161105-Sturm-MBO,unsat,0.003,5.441
mbo_E28,20161105-Sturm-MBO,unsat,0.011,9.758
mbo_E2E10,20161105-Sturm-MBO,timeout,0,0
mbo_E2E11,20161105-Sturm-MBO,unsat,3.432,75.578
mbo_E2E12,20161105-Sturm-MBO,unsat,15.866,168.016
mbo_E2E13,20161105-Sturm-MBO,unsat,16.511,173.137
mbo_E2E14,20161105-Sturm-MBO,timeout,0,0
mbo_E2E15,20161105-Sturm-MBO,unsat,15.465,165.949
mbo_E2E16,20161105-Sturm-MBO,timeout,0,0
mbo_E2E17,20161105-Sturm-MBO,timeout,0,0
mbo_E2E18,20161105-Sturm-MBO,unsat,13.42,164.555
mbo_E2E19,20161105-Sturm-MBO,unsat,15.024,163.398
mbo_E2E20,20161105-Sturm-MBO,timeout,0,0
mbo_E2E21,20161105-Sturm-MBO,timeout,0,0
mbo_E2E22,20161105-Sturm-MBO,unsat,9.579,134.727
mbo_E2E23,20161105-Sturm-MBO,unsat,7.891,119.953
mbo_E2E24,20161105-Sturm-MBO,unsat,12.74,141.902
mbo_E2E25,20161105-Sturm-MBO,unsat,12.186,144.129
mbo_E2E26,20161105-Sturm-MBO,unsat,8.529,131.738
mbo_E2E27,20161105-Sturm-MBO,unsat,1.752,53.383
mbo_E2E28,20161105-Sturm-MBO,unsat,8.84,131.816
mbo_E2E3,20161105-Sturm-MBO,unsat,17.526,180.328
mbo_E2E4,20161105-Sturm-MBO,unsat,13.953,166.75
mbo_E2E5,20161105-Sturm-MBO,unsat,18.546,193.668
mbo_E2E6,20161105-Sturm-MBO,unsat,16.782,189.938
mbo_E2E7,20161105-Sturm-MBO,unsat,5.594,98.941
mbo_E2E8,20161105-Sturm-MBO,unsat,19.452,178.223
mbo_E2E9,20161105-Sturm-MBO,timeout,0,0
mbo_E2,20161105-Sturm-MBO,unsat,0.378,24.574
mbo_E3E10,20161105-Sturm-MBO,timeout,0,0
mbo_E3E11,20161105-Sturm-MBO,unsat,3.438,72.582
mbo_E3E12,20161105-Sturm-MBO,unsat,16.118,163.316
mbo_E3E13,20161105-Sturm-MBO,unsat,16.764,170.094
mbo_E3E14,20161105-Sturm-MBO,timeout,0,0
mbo_E3E15,20161105-Sturm-MBO,unsat,15.804,168.387
mbo_E3E16,20161105-Sturm-MBO,timeout,0,0
mbo_E3E17,20161105-Sturm-MBO,timeout,0,0
mbo_E3E18,20161105-Sturm-MBO,unsat,13.483,162.859
mbo_E3E19,20161105-Sturm-MBO,unsat,14.81,157.555
mbo_E3E20,20161105-Sturm-MBO,unsat,7.787,120.609
mbo_E3E21,20161105-Sturm-MBO,unsat,6.944,110.75
mbo_E3E22,20161105-Sturm-MBO,unsat,9.933,132.438
mbo_E3E23,20161105-Sturm-MBO,unsat,7.351,117.129
mbo_E3E24,20161105-Sturm-MBO,unsat,9.503,133.824
mbo_E3E25,20161105-Sturm-MBO,unsat,9.413,138.371
mbo_E3E26,20161105-Sturm-MBO,unsat,8.29,127.336
mbo_E3E27,20161105-Sturm-MBO,unsat,1.776,51.949
mbo_E3E28,20161105-Sturm-MBO,unsat,8.998,128.734
mbo_E3E4,20161105-Sturm-MBO,unsat,14.159,165.035
